gather-vs-sweep crossover — spread frontier, edge_classid=0, gate=0x0, radius=25, reps=7 (median)

== n_rows = 1024 ==
  frontier   density     sweep_us    gather_us      ratio  faster
         1     0.01%         92.8          0.3    273.86x  gather
         1     0.05%        100.2          0.3    319.18x  gather
         1     0.10%        101.2          0.3    314.24x  gather
         2     0.25%        106.5          0.4    273.70x  gather
         5     0.50%        103.9          0.6    166.76x  gather
        10     1.00%        104.0          0.9    111.50x  gather
        20     2.00%         99.9          1.4     71.81x  gather
        51     5.00%        101.7          3.3     31.09x  gather
       102    10.00%         89.8          6.2     14.45x  gather
       256    25.00%         94.1         14.1      6.68x  gather
       512    50.00%         88.8         27.0      3.29x  gather
      1024   100.00%         92.0         61.9      1.49x  gather

== n_rows = 4096 ==
  frontier   density     sweep_us    gather_us      ratio  faster
         1     0.01%        368.7          0.3   1237.12x  gather
         2     0.05%        361.6          0.4   1018.66x  gather
         4     0.10%        378.5          0.4    860.28x  gather
        10     0.25%        420.9          0.9    487.12x  gather
        20     0.50%        393.6          1.5    257.74x  gather
        40     1.00%        396.0          2.6    150.56x  gather
        81     2.00%        429.4          5.2     82.60x  gather
       204     5.00%        367.0         12.3     29.76x  gather
       409    10.00%        377.8         24.4     15.50x  gather
      1024    25.00%        385.1         80.1      4.81x  gather
      2048    50.00%        371.7        114.1      3.26x  gather
      4096   100.00%        416.5        225.9      1.84x  gather

== n_rows = 16384 ==
  frontier   density     sweep_us    gather_us      ratio  faster
         1     0.01%       1609.2          0.7   2305.40x  gather
         8     0.05%       1525.2          1.2   1268.87x  gather
        16     0.10%       1509.6          1.4   1105.94x  gather
        40     0.25%       1607.6          3.2    501.89x  gather
        81     0.50%       1570.5          6.7    234.80x  gather
       163     1.00%       1535.6         13.5    113.57x  gather
       327     2.00%       1572.7         20.7     76.04x  gather
       819     5.00%       1496.2         66.6     22.46x  gather
      1638    10.00%       1597.0        146.2     10.92x  gather
      4096    25.00%       1552.9        312.3      4.97x  gather
      8192    50.00%       1758.5        532.3      3.30x  gather
     16384   100.00%       1785.4        946.3      1.89x  gather

== n_rows = 65536 ==
  frontier   density     sweep_us    gather_us      ratio  faster
         6     0.01%       7193.7          2.7   2666.31x  gather
        32     0.05%       7306.4          3.6   2035.21x  gather
        65     0.10%       6993.4          5.3   1325.51x  gather
       163     0.25%       7670.4         13.6    563.25x  gather
       327     0.50%       8246.3         30.2    272.82x  gather
       655     1.00%       8117.5         69.5    116.83x  gather
      1310     2.00%       7080.6         92.4     76.59x  gather
      3276     5.00%       7128.7        321.2     22.19x  gather
      6553    10.00%       7590.4        678.7     11.18x  gather
     16384    25.00%       8158.6       3283.4      2.48x  gather
     32768    50.00%       8853.5       4514.4      1.96x  gather
     65536   100.00%      10083.2       5678.4      1.78x  gather

== n_rows = 262144 ==
  frontier   density     sweep_us    gather_us      ratio  faster
        26     0.01%      27524.6         10.0   2753.83x  gather
       131     0.05%      27511.3         13.8   1994.15x  gather
       262     0.10%      27735.1         24.3   1139.16x  gather
       655     0.25%      27779.5         78.9    351.93x  gather
      1310     0.50%      27641.5        137.3    201.30x  gather
      2621     1.00%      28604.5        318.2     89.89x  gather
      5242     2.00%      28562.8        612.0     46.67x  gather
     13107     5.00%      30100.1       2842.1     10.59x  gather
     26214    10.00%      29586.3       5968.4      4.96x  gather
     65536    25.00%      31583.4      12368.0      2.55x  gather
    131072    50.00%      33729.6      16287.8      2.07x  gather
    262144   100.00%      37821.5      21811.6      1.73x  gather

