warning: missing documentation for a method
   --> src/rowstore.rs:306:5
    |
306 |     pub fn bytes_arc(&self) -> Arc<[u8]> {
    |     ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    |
note: the lint level is defined here
   --> src/lib.rs:48:9
    |
 48 | #![warn(missing_docs)]
    |         ^^^^^^^^^^^^

warning: `lgj-abi` (lib) generated 1 warning
gather-vs-sweep crossover — spread frontier, edge_classid=0, gate=0x0, radius=25, reps=7 (median)

== n_rows = 1024 ==
  frontier   density     sweep_us    gather_us    memo_cold    memo_warm
         1     0.01%         88.8          0.2         85.8          0.1
         1     0.05%         85.9          0.2         85.9          0.1
         1     0.10%         86.2          0.2         85.8          0.1
         2     0.25%         90.9          0.2         85.8          0.1
         5     0.50%         86.3          0.3         86.2          0.1
        10     1.00%         85.9          0.5         86.1          0.2
        20     2.00%         86.1          0.7         86.1          0.2
        51     5.00%         91.8          1.8         86.3          0.3
       102    10.00%         86.8          3.6         86.6          0.7
       256    25.00%         87.5         11.5         93.6          1.7
       512    50.00%         89.1         21.9         92.2          3.2
      1024   100.00%         92.4         42.6         92.2          7.2

== n_rows = 4096 ==
  frontier   density     sweep_us    gather_us    memo_cold    memo_warm
         1     0.01%        360.0          0.3        374.9          0.2
         2     0.05%        356.2          0.3        369.7          0.2
         4     0.10%        364.8          0.4        352.1          0.2
        10     0.25%        360.5          0.6        362.7          0.3
        20     0.50%        353.8          0.9        362.5          0.3
        40     1.00%        367.4          1.5        374.9          0.5
        81     2.00%        372.4          4.0        355.7          0.8
       204     5.00%        369.3          7.3        354.7          1.5
       409    10.00%        391.4         15.0        368.5          3.0
      1024    25.00%        370.8         66.9        360.2          7.0
      2048    50.00%        369.7        113.3        369.5         16.5
      4096   100.00%        399.8        226.5        401.7         38.9

== n_rows = 16384 ==
  frontier   density     sweep_us    gather_us    memo_cold    memo_warm
         1     0.01%       1462.3          0.7       1440.6          0.7
         8     0.05%       1482.5          1.0       1433.6          0.7
        16     0.10%       1463.9          1.3       1465.3          0.7
        40     0.25%       1453.4          1.9       1484.0          0.8
        81     0.50%       1806.4          3.5       1445.9          1.5
       163     1.00%       1524.3          6.4       1468.8          2.3
       327     2.00%       1488.7         12.2       1465.4          3.0
       819     5.00%       1480.9         65.1       1452.3          6.5
      1638    10.00%       1512.8        135.1       1715.4         13.9
      4096    25.00%       1577.5        347.5       1886.0         53.2
      8192    50.00%       1989.1        723.8       2005.5        196.7
     16384   100.00%       2168.9       1300.8       1766.9        377.2

== n_rows = 65536 ==
  frontier   density     sweep_us    gather_us    memo_cold    memo_warm
         6     0.01%       6825.9          2.7       6807.8          2.5
        32     0.05%       6852.4          3.5       6888.2          2.6
        65     0.10%       6903.4          4.6       6746.7          2.7
       163     0.25%       6640.5          8.0       6657.8          3.9
       327     0.50%       6568.4         16.4       6543.4          6.4
       655     1.00%       6621.9         34.5       6494.1         10.1
      1310     2.00%       6680.3         87.4       6603.5         13.2
      3276     5.00%       6577.3        315.5       6628.6         53.6
      6553    10.00%       6774.9        637.1       6545.0        114.6
     16384    25.00%       7103.5       2956.9       6993.5        255.2
     32768    50.00%       8149.6       4085.3       8022.1        502.3
     65536   100.00%       8976.4       5395.0       8750.1       1187.2

== n_rows = 262144 ==
  frontier   density     sweep_us    gather_us    memo_cold    memo_warm
        26     0.01%      27023.0         11.0      27437.4         12.1
       131     0.05%      26563.9         14.5      27427.6         10.7
       262     0.10%      27627.0         23.0      27072.7         13.3
       655     0.25%      26848.8         71.1      27130.8         16.6
      1310     0.50%      27214.8        109.1      27295.0         36.0
      2621     1.00%      27149.7        296.2      27302.1         92.4
      5242     2.00%      28268.7        624.3      27541.3        123.7
     13107     5.00%      28767.9       3415.7      27980.9        262.5
     26214    10.00%      31007.4       6630.5      29938.3        550.4
     65536    25.00%      30465.1      14134.6      31286.5       2895.9
    131072    50.00%      34825.0      17754.2      32914.5       5605.5
    262144   100.00%      38079.8      22036.3      37304.5      10067.9

