"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: predicates","Param: rows"
"com.adaworldapi.lancegraph.bench.E_FusionAndPlanning.fused","avgt",1,8,0.404255,0.010091,"us/op",1,256
"com.adaworldapi.lancegraph.bench.E_FusionAndPlanning.fused","avgt",1,8,6.913186,0.165479,"us/op",1,65536
"com.adaworldapi.lancegraph.bench.E_FusionAndPlanning.fused","avgt",1,8,0.520053,0.032240,"us/op",2,256
"com.adaworldapi.lancegraph.bench.E_FusionAndPlanning.fused","avgt",1,8,15.222049,0.707462,"us/op",2,65536
"com.adaworldapi.lancegraph.bench.E_FusionAndPlanning.fused","avgt",1,8,0.807558,0.033095,"us/op",4,256
"com.adaworldapi.lancegraph.bench.E_FusionAndPlanning.fused","avgt",1,8,25.590826,0.582056,"us/op",4,65536
"com.adaworldapi.lancegraph.bench.E_FusionAndPlanning.fused","avgt",1,8,1.482240,0.070287,"us/op",8,256
"com.adaworldapi.lancegraph.bench.E_FusionAndPlanning.fused","avgt",1,8,58.977540,4.508809,"us/op",8,65536
"com.adaworldapi.lancegraph.bench.E_FusionAndPlanning.fusedScalarKernel","avgt",1,8,0.502951,0.015378,"us/op",1,256
"com.adaworldapi.lancegraph.bench.E_FusionAndPlanning.fusedScalarKernel","avgt",1,8,74.340346,1.659056,"us/op",1,65536
"com.adaworldapi.lancegraph.bench.E_FusionAndPlanning.fusedScalarKernel","avgt",1,8,0.835215,0.038908,"us/op",2,256
"com.adaworldapi.lancegraph.bench.E_FusionAndPlanning.fusedScalarKernel","avgt",1,8,408.169551,20.241519,"us/op",2,65536
"com.adaworldapi.lancegraph.bench.E_FusionAndPlanning.fusedScalarKernel","avgt",1,8,1.662239,0.084279,"us/op",4,256
"com.adaworldapi.lancegraph.bench.E_FusionAndPlanning.fusedScalarKernel","avgt",1,8,917.386626,27.768400,"us/op",4,65536
"com.adaworldapi.lancegraph.bench.E_FusionAndPlanning.fusedScalarKernel","avgt",1,8,3.488951,0.112650,"us/op",8,256
"com.adaworldapi.lancegraph.bench.E_FusionAndPlanning.fusedScalarKernel","avgt",1,8,1825.916402,125.373079,"us/op",8,65536
"com.adaworldapi.lancegraph.bench.E_FusionAndPlanning.planConstructionOnly","avgt",1,8,0.056078,0.004036,"us/op",1,256
"com.adaworldapi.lancegraph.bench.E_FusionAndPlanning.planConstructionOnly","avgt",1,8,0.052973,0.005193,"us/op",1,65536
"com.adaworldapi.lancegraph.bench.E_FusionAndPlanning.planConstructionOnly","avgt",1,8,0.111424,0.003422,"us/op",2,256
"com.adaworldapi.lancegraph.bench.E_FusionAndPlanning.planConstructionOnly","avgt",1,8,0.113013,0.005714,"us/op",2,65536
"com.adaworldapi.lancegraph.bench.E_FusionAndPlanning.planConstructionOnly","avgt",1,8,0.281631,0.055958,"us/op",4,256
"com.adaworldapi.lancegraph.bench.E_FusionAndPlanning.planConstructionOnly","avgt",1,8,0.261441,0.012488,"us/op",4,65536
"com.adaworldapi.lancegraph.bench.E_FusionAndPlanning.planConstructionOnly","avgt",1,8,0.657211,0.196387,"us/op",8,256
"com.adaworldapi.lancegraph.bench.E_FusionAndPlanning.planConstructionOnly","avgt",1,8,0.600529,0.031814,"us/op",8,65536
"com.adaworldapi.lancegraph.bench.E_FusionAndPlanning.unfused","avgt",1,8,0.384609,0.009362,"us/op",1,256
"com.adaworldapi.lancegraph.bench.E_FusionAndPlanning.unfused","avgt",1,8,6.326314,0.174757,"us/op",1,65536
"com.adaworldapi.lancegraph.bench.E_FusionAndPlanning.unfused","avgt",1,8,0.930643,0.017781,"us/op",2,256
"com.adaworldapi.lancegraph.bench.E_FusionAndPlanning.unfused","avgt",1,8,14.203920,0.803807,"us/op",2,65536
"com.adaworldapi.lancegraph.bench.E_FusionAndPlanning.unfused","avgt",1,8,2.097204,0.064309,"us/op",4,256
"com.adaworldapi.lancegraph.bench.E_FusionAndPlanning.unfused","avgt",1,8,31.789786,3.337085,"us/op",4,65536
"com.adaworldapi.lancegraph.bench.E_FusionAndPlanning.unfused","avgt",1,8,4.437382,0.204156,"us/op",8,256
"com.adaworldapi.lancegraph.bench.E_FusionAndPlanning.unfused","avgt",1,8,60.967976,2.656815,"us/op",8,65536
